amount,from_user_id,to_user_id,from_name,to_name,created_at
577.86,1,3,Lily,Umar,2016-12-17 21:49:28
978.1,9,8,Charlie,Yusuf,2016-07-25 19:20:19
91.25,8,10,Bob,Tina,2016-02-27 19:02:13
403.93,4,3,Nora,Diana,2016-06-24 23:54:35
874.18,6,7,Bob,Rachel,2016-09-27 20:27:45
407.04,4,1,Umar,Michael,2016-06-19 15:47:49
722.67,3,5,Charlie,Oscar,2016-09-09 15:46:28
428.34,6,8,Zoe,Julia,2016-03-11 06:12:45
895.38,6,3,Michael,Charlie,2016-12-12 19:53:11
407.39,8,1,Diana,George,2016-07-29 06:17:03
484.81,6,3,Alice,Xena,2016-02-07 21:00:25
705.82,10,9,Steve,Ian,2016-02-03 01:35:41
14.2,4,9,Quincy,Oscar,2016-04-09 20:31:55
260.1,8,4,Xena,Charlie,2016-09-19 00:43:27
648.18,7,3,William,Michael,2016-02-13 04:40:12
721.47,10,5,George,Lily,2016-08-30 14:26:09
521.87,1,2,Zoe,Alice,2016-12-30 15:56:13
797.27,9,4,Fiona,Hannah,2016-03-03 12:47:05
346.99,6,2,Fiona,Violet,2016-11-29 00:13:23
895.28,10,5,Julia,Fiona,2016-09-10 06:22:08
91.23,1,7,Xena,Fiona,2016-04-06 01:18:08
45.95,9,3,Oscar,Julia,2016-03-04 09:11:28
131.45,2,9,Rachel,Alice,2016-10-01 23:29:13
480.53,3,4,Nora,Alice,2016-09-27 10:22:06
955.69,5,4,Violet,Tina,2016-07-22 00:32:07
23.11,1,4,Hannah,Violet,2016-06-17 05:25:54
442.99,3,10,Kevin,Quincy,2016-03-01 06:57:25
203.2,6,7,Kevin,Quincy,2016-07-02 11:50:56
795.02,5,1,Charlie,Tina,2016-02-28 15:29:32
993.78,8,9,Penny,Michael,2016-02-15 12:48:03
245.07,2,6,Steve,Oscar,2016-03-30 14:47:21
694.03,7,5,Quincy,Hannah,2016-05-20 03:02:58
427.39,7,10,Fiona,Julia,2016-06-01 15:31:01
661.87,8,10,William,Ian,2016-10-15 21:46:15
588.53,5,10,Diana,Kevin,2016-02-09 16:01:07
173.97,10,7,Alice,Quincy,2016-03-21 08:39:53
45.05,7,6,Xena,Yusuf,2016-08-14 14:53:13
525.38,9,8,Penny,Kevin,2016-05-03 07:27:48
103.28,1,10,Xena,Ian,2016-08-07 21:28:10
273.85,1,7,Ethan,Alice,2016-06-30 04:21:59
132.22,5,6,Ethan,Oscar,2016-03-23 06:49:37
607.41,2,7,Michael,William,2016-05-17 18:15:44
874.98,6,7,Ian,Yusuf,2016-06-11 01:00:20
389.02,8,4,Violet,Julia,2016-11-26 04:21:21
924.53,2,10,Umar,Quincy,2016-10-18 11:27:32
596.77,2,7,Tina,Ethan,2016-09-22 23:13:43
856.95,2,3,Michael,Kevin,2016-11-07 03:53:31
335.35,9,10,Zoe,Lily,2016-05-29 14:30:36
684.76,9,1,Steve,Charlie,2016-08-28 11:29:43
989.39,10,6,Fiona,William,2016-07-15 23:45:10
648.33,8,10,Ian,Michael,2016-03-05 03:31:44
265.59,9,7,Kevin,Bob,2016-06-06 11:17:48
302.61,4,1,Charlie,Kevin,2016-12-01 15:07:52
378.7,6,3,Zoe,Alice,2016-12-17 13:56:01
662.95,3,7,Alice,Lily,2016-05-19 23:47:13
565.66,8,1,Nora,Umar,2016-01-24 07:16:40
284.49,1,7,Charlie,Umar,2016-04-13 08:29:00
37.96,10,9,Zoe,George,2016-01-30 22:20:21
284.0,8,2,Steve,Violet,2016-08-12 09:37:23
824.09,9,2,Steve,Michael,2016-12-05 20:49:33
510.34,3,1,Zoe,Zoe,2016-01-15 21:08:46
23.86,8,4,Fiona,Yusuf,2016-04-25 18:20:47
829.76,1,6,Tina,Tina,2016-08-09 20:26:30
741.53,5,3,Penny,Steve,2016-03-04 11:18:48
611.6,1,10,Diana,Tina,2016-03-08 16:52:29
227.06,8,2,Penny,William,2016-07-01 05:32:33
820.32,2,10,Xena,Lily,2016-08-05 10:15:14
895.29,8,2,Ian,Diana,2016-10-21 04:14:46
86.04,6,3,Steve,Rachel,2016-02-15 11:00:30
717.34,8,3,Tina,Oscar,2016-03-04 02:40:22
248.51,5,9,Julia,Tina,2016-08-16 01:18:42
456.25,1,8,Michael,Fiona,2016-10-05 18:21:01
424.51,9,2,Rachel,Tina,2016-05-15 07:24:49
653.11,9,3,Rachel,William,2016-12-31 06:45:03
648.17,8,5,Violet,Julia,2016-10-27 13:32:08
381.44,2,9,Zoe,Penny,2016-04-16 19:04:11
785.5,2,8,Ian,Ian,2016-10-12 23:05:41
715.62,3,5,Lily,Penny,2016-07-08 12:07:56
703.82,1,5,Bob,Rachel,2016-05-21 15:14:08
277.25,9,7,Steve,Steve,2016-06-11 17:50:56
293.63,8,2,Ethan,Nora,2016-05-05 23:50:14
886.44,2,7,Tina,Rachel,2016-08-09 11:17:00
127.39,10,5,George,Fiona,2016-03-02 10:36:39
338.85,7,9,Zoe,Oscar,2016-12-27 17:31:48
606.17,9,8,Rachel,Violet,2016-03-11 22:41:17
378.01,3,2,Lily,William,2016-02-11 04:23:43
952.5,9,6,Rachel,Penny,2016-04-10 22:44:25
504.38,3,10,Zoe,Rachel,2016-06-01 14:17:23
868.22,1,9,Steve,Violet,2016-11-05 06:12:48
742.45,6,1,Julia,Kevin,2016-03-10 18:08:35
619.45,6,9,Nora,Ethan,2016-06-26 19:33:40
37.22,4,5,Tina,Diana,2016-09-01 14:46:38
229.77,1,7,Julia,William,2016-07-18 20:56:34
748.07,5,9,Michael,William,2016-05-17 12:10:23
736.37,8,9,Hannah,Ethan,2016-10-11 23:29:44
898.45,6,7,Julia,Zoe,2016-11-30 13:44:42
854.0,4,6,Ian,Violet,2016-01-18 11:16:40
162.64,10,4,Steve,Rachel,2016-11-10 21:54:49
183.76,8,7,Bob,Penny,2016-05-07 20:04:47
875.08,3,8,Hannah,Lily,2016-09-09 08:41:14
